type,schedule,airline,plane,state,update_schedule,airport,gate,terminal,carousel,exit
in,2024-01-30 13:55,대한항공,KE756,도착,2024-01-30 13:59,오키나와,245,P03,,
in,2024-01-30 13:55,델타항공,DL7689,도착,2024-01-30 13:59,오키나와,245,P03,,
in,2024-01-30 13:55,에티하드 항공,EY8486,도착,2024-01-30 13:59,오키나와,245,P03,,
in,2024-01-30 13:55,일본항공,JL5275,도착,2024-01-30 13:59,오키나와,245,P03,,
in,2024-01-30 13:55,KLM네덜란드항공,KL9165,도착,2024-01-30 13:59,오키나와,245,P03,,
in,2024-01-30 13:55,버진 애트란틱항공,VS5514,도착,2024-01-30 13:59,오키나와,245,P03,,
in,2024-01-30 13:55,캐세이퍼시픽항공,CX410,도착,2024-01-30 14:01,홍콩,46,P01,,
in,2024-01-30 13:55,콴타스항공,QF8223,도착,2024-01-30 14:01,홍콩,46,P01,,
in,2024-01-30 13:55,아메리칸항공,AA8887,도착,2024-01-30 14:01,홍콩,46,P01,,
in,2024-01-30 14:00,제주항공,7C8502,도착,2024-01-30 14:03,웨이하이,114,P02,,
in,2024-01-30 14:00,한 에어,H19900,도착,2024-01-30 14:03,웨이하이,114,P02,,
in,2024-01-30 13:55,대한항공,KE860,도착,2024-01-30 14:05,베이징/서우두,238,P03,,
in,2024-01-30 13:55,중국남방항공,CZ7853,도착,2024-01-30 14:05,베이징/서우두,238,P03,,
in,2024-01-30 13:55,샤먼항공,MF9099,도착,2024-01-30 14:05,베이징/서우두,238,P03,,
in,2024-01-30 14:15,제주항공,7C1903,도착,2024-01-30 14:14,삿포로,45,P01,,
in,2024-01-30 14:15,한 에어,H19915,도착,2024-01-30 14:14,삿포로,45,P01,,
in,2024-01-30 13:50,티웨이항공,TW292,도착,2024-01-30 14:11,후쿠오카,125,P02,,
in,2024-01-30 13:30,이스타항공,ZE642,도착,2024-01-30 14:11,후쿠오카,103,P02,,
in,2024-01-30 13:40,대한항공,KE970,도착,2024-01-30 14:14,프라하,255,P03,,
in,2024-01-30 13:50,에어부산,BX163,도착,2024-01-30 14:18,도쿄/나리타,117,P02,,
in,2024-01-30 14:15,중국동방항공,MU891,도착,2024-01-30 14:18,옌지(연길),124,P02,,
in,2024-01-30 14:15,대한항공,KE962,도착,2024-01-30 14:20,부다페스트,236,P03,,
in,2024-01-30 14:30,제주항공,7C1101,도착,2024-01-30 14:17,도쿄/나리타,118,P02,,
in,2024-01-30 14:30,한 에어,H19800,도착,2024-01-30 14:17,도쿄/나리타,118,P02,,
in,2024-01-30 15:00,미얀마국제항공,8M801,도착,2024-01-30 14:28,양곤,41,P01,,
in,2024-01-30 14:15,이스타항공,ZE606,도착,2024-01-30 14:24,도쿄/나리타,105,P02,,
in,2024-01-30 14:05,에어서울,RS706,도착,2024-01-30 14:25,도쿄/나리타,42,P01,,
in,2024-01-30 14:35,티웨이항공,TW212,도착,2024-01-30 14:25,도쿄/나리타,129,P02,,
in,2024-01-30 14:20,제주항공,7C1401,도착,2024-01-30 14:28,후쿠오카,112,P02,,
in,2024-01-30 14:20,한 에어,H19827,도착,2024-01-30 14:28,후쿠오카,112,P02,,
in,2024-01-30 14:40,제주항공,7C8702,도착,2024-01-30 14:28,옌타이,101,P02,,
in,2024-01-30 14:40,한 에어,H19941,도착,2024-01-30 14:28,옌타이,101,P02,,
in,2024-01-30 14:30,중국남방항공,CZ3065,도착,2024-01-30 14:32,장사,132,P02,,
in,2024-01-30 14:25,산동항공,SC4613,도착,2024-01-30 14:34,칭다오,37,P01,,
in,2024-01-30 14:30,이스타항공,ZE602,도착,2024-01-30 14:34,도쿄/나리타,108,P02,,
in,2024-01-30 14:45,제주항공,7C1307,도착,2024-01-30 14:37,오사카/ 간사이,102,P02,,
in,2024-01-30 14:50,에어부산,BX157,도착,2024-01-30 14:38,후쿠오카,50,P01,,
in,2024-01-30 13:50,이스타항공,ZE612,도착,2024-01-30 14:40,오사카/ 간사이,119,P02,,
in,2024-01-30 14:35,피치항공,MM705,도착,2024-01-30 14:39,오사카/ 간사이,111,P02,,
in,2024-01-30 14:25,대한항공,KE894,도착,2024-01-30 14:44,상하이/푸동,265,P03,,
in,2024-01-30 14:25,상하이항공,FM8751,도착,2024-01-30 14:44,상하이/푸동,265,P03,,
in,2024-01-30 14:25,중국동방항공,MU8931,도착,2024-01-30 14:44,상하이/푸동,265,P03,,
in,2024-01-30 15:30,싱가포르항공,SQ600,도착,2024-01-30 14:48,싱가포르,31,P01,,
in,2024-01-30 15:30,캐나다항공,AC6305,도착,2024-01-30 14:48,싱가포르,31,P01,,
in,2024-01-30 15:30,아시아나항공,OZ6790,도착,2024-01-30 14:48,싱가포르,31,P01,,
in,2024-01-30 15:30,비스타라항공,UK8600,도착,2024-01-30 14:48,싱가포르,31,P01,,
in,2024-01-30 15:30,버진 오스트레일리아,VA5670,도착,2024-01-30 14:48,싱가포르,31,P01,,
in,2024-01-30 15:15,중국남방항공,CZ3061,도착,2024-01-30 14:51,광저우,121,P02,,
in,2024-01-30 15:15,대한항공,KE5826,도착,2024-01-30 14:51,광저우,121,P02,,
in,2024-01-30 14:55,중국동방항공,MU267,착륙,2024-01-30 14:56,옌타이,127,P02,,
in,2024-01-30 14:55,대한항공,KE5852,착륙,2024-01-30 14:56,옌타이,127,P02,,
in,2024-01-30 15:20,타이에어아시아엑스,XJ708,착륙,2024-01-30 14:57,방콕/수완나품,113,P02,,
in,2024-01-30 15:30,델타항공,DL171,착륙,2024-01-30 14:59,미니애폴리스,248,P03,,
in,2024-01-30 15:30,대한항공,KE5034,착륙,2024-01-30 14:59,미니애폴리스,248,P03,,
in,2024-01-30 15:15,대한항공,KE478,,2024-01-30 15:00,호찌민,234,P03,,
in,2024-01-30 15:15,델타항공,DL7920,,2024-01-30 15:00,호찌민,234,P03,,
in,2024-01-30 15:15,베트남항공,VN3406,,2024-01-30 15:00,호찌민,234,P03,,
in,2024-01-30 15:10,대한항공,KE792,,2024-01-30 15:04,후쿠오카,232,P03,,
in,2024-01-30 15:10,델타항공,DL9027,,2024-01-30 15:04,후쿠오카,232,P03,,
in,2024-01-30 15:10,일본항공,JL5273,,2024-01-30 15:04,후쿠오카,232,P03,,
in,2024-01-30 15:00,대한항공,KE946,,2024-01-30 15:13,프랑크푸르트,258,P03,,
in,2024-01-30 15:30,티웨이항공,TW274,,2024-01-30 15:16,사가,104,P02,,
in,2024-01-30 15:25,타이항공,TG652,,2024-01-30 15:19,방콕/수완나품,33,P01,,
in,2024-01-30 14:30,아시아나항공,OZ362,지연,2024-01-30 15:22,상하이/푸동,21,P01,,
in,2024-01-30 15:25,아시아나항공,OZ151,,2024-01-30 15:25,센다이,16,P01,,
in,2024-01-30 15:25,전일본공수 주식회사,NH6981,,2024-01-30 15:25,센다이,16,P01,,
in,2024-01-30 15:25,대한항공,KE728,,2024-01-30 15:27,오사카/ 간사이,247,P03,,
in,2024-01-30 15:25,델타항공,DL7685,,2024-01-30 15:27,오사카/ 간사이,247,P03,,
in,2024-01-30 15:25,아시아나항공,OZ171,,2024-01-30 15:30,오키나와,26,P01,,
in,2024-01-30 15:25,전일본공수 주식회사,NH6993,,2024-01-30 15:30,오키나와,26,P01,,
